Region,Location,Negative,Neutral,Positive
Gujarat,Ahmedabad,9,105,627
Gujarat,Anand,2,1,20
Gujarat,Baroda,4,50,289
Gujarat,Bhuj,0,6,25
Gujarat,Gandhidham,1,3,4
Gujarat,Gandhinagar,0,6,16
Gujarat,Jamnagar,3,10,38
Gujarat,Junagadh,0,1,21
Gujarat,Rajkot,0,11,74
Gujarat,Surat,2,44,275
Gujarat,Vapi,4,14,190
MPCG,Ambikapur,0,2,2
MPCG,Bhilai,0,0,2
MPCG,Bhopal,2,8,30
MPCG,Bilaspur,0,2,34
MPCG,Gwalior,1,3,16
MPCG,Indore,1,7,30
MPCG,Jabalpur,1,3,18
MPCG,Raipur,2,8,39
Mumbai,Mumbai,10,118,525
ROMG,Amravati,0,2,22
ROMG,Aurangabad,0,1,2
ROMG,Goa,1,37,160
ROMG,Karad,1,1,18
ROMG,Kolhapur,1,25,114
ROMG,Nagpur,0,18,161
ROMG,Nashik,0,3,11
ROMG,Pune,4,31,82
ROMG,Sangli,1,3,12
