Region,Location,Theme,Sentiment,VoteChoice
Mumbai,Mumbai,Product Style,Neutral,Enhance collection for accessories.
Mumbai,Mumbai,Customer Service,Positive,Sales person was helpful an provided options as per my need
ROMG,Nashik,Experience,Positive,Best ????
ROMG,Pune,Customer Service,Positive,Keep up the good service.
ROMG,Pune,Product Style,Positive,Better sales representatives at Pheonix Marketcity mall - Viman Nagar
ROMG,Pune,Experience,Positive,Good
Mumbai,Mumbai,Experience,Positive,Good
Mumbai,Mumbai,Customer Service,Positive,Thanks asha for help ??
ROMG,Pune,Product Style,Neutral,A little more variety in men’s T-shirts in regular fits 
ROMG,Nagpur,Experience,Positive,Thanks 
MPCG,Bhopal,Experience,Positive,Nice 
Gujarat,Ahmedabad,Customer Service,Positive,Good service and behave
Gujarat,Baroda,Customer Service,Positive,Nice interaction lovely helpful people 
Mumbai,Mumbai,Customer Service,Positive,Amazing service
Mumbai,Mumbai,Experience,Positive,Good 
Gujarat,Ahmedabad,Experience,Positive,Excellent ??  
Mumbai,Mumbai,Experience,Positive,All good
Gujarat,Surat,Experience,Positive,Good
Gujarat,Surat,Experience,Positive,Good 
Gujarat,Ahmedabad,Experience,Positive,Good
Gujarat,Ahmedabad,Experience,Positive,Good
Mumbai,Mumbai,Customer Service,Positive,Usufbhai was very helpful 
Gujarat,Ahmedabad,Experience,Positive,Good
Mumbai,Mumbai,Experience,Neutral,.
Gujarat,Surat,Experience,Positive,Nice
Gujarat,Rajkot,Customer Service,Positive,Very good staff supporive staaf to find my choice collection
Gujarat,Jamnagar,Experience,Positive,Better
ROMG,Amravati,Experience,Positive,Very good experience...
ROMG,Goa,Product Style,Positive,Include more varieties of t shirts for women...as well as dress collection.
Gujarat,Baroda,Product Style,Positive,Just see if you can make your product more affordable. Thanks to mr. Tausif for a good experience.
Gujarat,Surat,Customer Service,Positive,Good support Anil
Mumbai,Mumbai,Experience,Positive,Everything is perfect and Aakash here helped me a lot to make the right decision 
Mumbai,Mumbai,Product Style,Positive,Zainab are good jog and also good marketing skill
ROMG,Nagpur,Customer Service,Neutral,Team mast ??????
ROMG,Goa,Customer Service,Positive,Very good service ????????
Gujarat,Ahmedabad,Customer Service,Positive, it was great experience. Nikit assisted me politely and humbly 
Mumbai,Mumbai,Customer Service,Positive,Good service satya 
Mumbai,Mumbai,Product Style,Neutral,Need some new colour variants 
ROMG,Pune,Customer Service,Positive,Jyoti was sweet & helpfull in selecting products.  
Mumbai,Mumbai,Product Style,Neutral,Continue launching new styles
Mumbai,Mumbai,Product Style,Neutral,Continue launching new styles
Gujarat,Anand,Experience,Positive,Ok
ROMG,Amravati,Customer Service,Positive,Veri good service by arun Rathod very energetic staff
Gujarat,Baroda,Customer Service,Positive,Deepika is great person and help ful. She is a good customer care taker
Gujarat,Surat,Customer Service,Positive,Shubham helpful 
Gujarat,Surat,Experience,Positive,Good expressions 
Gujarat,Surat,Experience,Neutral,Goo
Mumbai,Mumbai,Customer Service,Positive,Salesman was polite and helpful.
ROMG,Goa,Experience,Positive,Good  
Gujarat,Ahmedabad,Customer Service,Neutral,Nshxhdhensnjd
Gujarat,Ahmedabad,Customer Service,Positive,Good service by regar dipak bhai ...
Gujarat,Baroda,Experience,Positive,Nice 
MPCG,Gwalior,Customer Service,Positive,Excellent service & excellent style 
Gujarat,Vapi,Product Style,Positive,Good collection 
Gujarat,Vapi,Experience,Positive,Good 
Gujarat,Vapi,Experience,Positive,Good 
Gujarat,Bhuj,Experience,Positive,Excellent shopping experience
Gujarat,Surat,Experience,Positive,Good 
Gujarat,Surat,Experience,Positive,Good 
Gujarat,Surat,Experience,Positive,Good 
Gujarat,Surat,Experience,Positive,Good 
MPCG,Indore,Experience,Positive,Excellent 
Mumbai,Mumbai,Customer Service,Positive,Warm staff welcoming store. Thank you for a  wonderful experience. Tushar has been very polite and helpful. 
ROMG,Nagpur,Experience,Positive,Nice 
Mumbai,Mumbai,Product Style,Negative,Nothing all is cool ?? 
ROMG,Nagpur,Experience,Positive,Good
Mumbai,Mumbai,Product Style,Positive,Quality is best 
Mumbai,Mumbai,Customer Service,Positive,Good service excellent work Satya good 
Gujarat,Baroda,Experience,Positive,All good
Gujarat,Baroda,Experience,Positive,All good
Gujarat,Ahmedabad,Experience,Positive,Good
Mumbai,Mumbai,Product Style,Neutral,More varieties 
MPCG,Bhopal,Experience,Positive,Great 
Mumbai,Mumbai,Customer Service,Positive,Yusuf was very good and attentive Everything was perfect?? 
ROMG,Pune,Experience,Positive,It was good 
ROMG,Pune,Experience,Neutral,Nothing much 
ROMG,Goa,Experience,Positive,Very good experience 
Gujarat,Bhuj,Customer Service,Positive,Need to improve redloop collection 
Gujarat,Bhuj,Customer Service,Neutral,Nic
Mumbai,Mumbai,Experience,Positive,Good exp
Gujarat,Jamnagar,Experience,Neutral,.
Gujarat,Ahmedabad,Experience,Positive,Ok
Gujarat,Bhuj,Customer Service,Neutral,Staff was very cooperative 
Mumbai,Mumbai,Experience,Positive,Nice ajaz??????
ROMG,Goa,Experience,Positive,Good experience 
Gujarat,Baroda,Experience,Positive,Good work mr pinkal....thank u so much bro
