Region,Location,1,2,3,4,5
Gujarat,Ahmedabad,97,364,45,146,89
Gujarat,Anand,5,8,3,6,1
Gujarat,Baroda,53,128,26,74,62
Gujarat,Bhuj,5,7,4,10,5
Gujarat,Gandhidham,4,0,2,1,1
Gujarat,Gandhinagar,6,9,0,4,3
Gujarat,Jamnagar,14,12,6,10,9
Gujarat,Junagadh,4,14,1,2,1
Gujarat,Rajkot,4,43,5,20,13
Gujarat,Surat,77,153,12,59,20
Gujarat,Vapi,23,120,14,29,22
MPCG,Ambikapur,1,0,1,2,0
MPCG,Bhilai,0,1,0,1,0
MPCG,Bhopal,12,8,5,9,6
MPCG,Bilaspur,7,12,3,9,5
MPCG,Gwalior,3,6,2,8,1
MPCG,Indore,5,10,8,9,6
MPCG,Jabalpur,2,5,8,4,3
MPCG,Raipur,9,14,9,9,8
Mumbai,Mumbai,101,171,73,137,171
ROMG,Amravati,3,12,0,6,3
ROMG,Aurangabad,1,1,0,0,1
ROMG,Goa,38,66,29,32,33
ROMG,Karad,1,9,2,5,3
ROMG,Kolhapur,21,57,13,29,20
ROMG,Nagpur,16,123,9,20,11
ROMG,Nashik,5,4,1,2,2
ROMG,Pune,26,28,25,15,23
ROMG,Sangli,3,8,0,2,3
